iter	Passed	Remaining
531	617	543
532	618	541
533	619	540
534	620	539
535	621	538
536	622	536
537	623	535
538	625	534
539	627	534
540	628	533
541	629	532
542	631	531
543	632	530
544	633	529
545	634	527
546	635	526
547	636	525
548	637	523
549	638	522
550	640	521
551	641	520
552	642	519
553	643	517
554	644	516
555	645	515
556	646	514
557	648	513
558	649	512
559	650	510
560	651	509
561	652	508
562	653	507
563	655	506
564	657	505
565	658	504
566	660	504
567	661	503
568	663	502
569	664	501
570	665	500
571	666	498
572	668	498
573	669	497
574	670	495
575	671	494
576	673	493
577	674	492
578	675	491
579	676	490
580	677	488
581	678	487
582	679	486
583	680	485
584	682	483
585	683	482
586	684	481
587	685	480
588	686	478
589	687	477
590	688	476
591	689	475
592	690	474
593	691	472
594	692	471
595	693	470
596	694	468
597	695	467
598	696	466
599	698	465
600	700	465
601	701	464
602	702	462
603	704	461
604	705	460
605	706	459
606	707	457
607	708	456
608	709	455
609	710	454
610	712	453
611	713	452
612	714	451
613	715	449
614	716	448
615	717	447
616	719	446
617	720	445
618	721	444
619	722	443
620	723	441
621	725	440
622	726	439
623	727	438
624	728	437
625	729	435
626	730	434
627	731	433
628	732	432
629	733	431
630	735	429
631	735	428
632	736	427
633	737	425
634	738	424
635	740	423
636	741	422
637	742	421
638	743	419
639	744	418
640	745	417
641	746	416
642	747	415
643	748	413
644	749	412
645	750	411
646	751	409
647	752	408
648	753	407
649	754	406
650	755	404
651	756	403
652	757	402
653	758	401
654	759	399
655	760	398
656	761	397
657	762	396
658	763	394
659	764	393
660	765	392
661	766	391
662	767	390
663	768	388
664	769	387
665	770	386
666	771	385
667	772	383
668	773	382
669	774	381
670	775	380
671	776	378
672	777	377
673	778	376
674	779	375
675	780	374
676	782	373
677	783	372
678	784	370
679	785	369
680	786	368
681	787	367
682	788	366
683	789	364
684	790	363
685	792	362
686	793	361
687	794	360
688	795	358
689	796	357
690	797	356
691	798	355
692	799	354
693	800	352
694	801	351
695	802	350
696	803	349
697	804	347
698	805	346
699	806	345
700	807	344
701	808	343
702	808	341
703	809	340
704	810	339
705	811	338
706	812	336
707	813	335
708	814	334
709	815	333
710	816	332
711	817	330
712	818	329
713	819	328
714	820	327
715	821	325
716	822	324
717	823	323
718	823	322
719	825	320
720	826	319
721	827	318
722	827	317
723	828	316
724	829	314
725	830	313
726	832	312
727	833	311
728	834	310
729	835	308
730	836	307
731	836	306
732	837	305
733	839	304
734	840	302
735	841	301
736	842	300
737	843	299
738	844	298
739	845	297
740	846	295
741	847	294
742	848	293
743	849	292
744	850	291
745	851	290
746	852	288
747	853	287
748	854	286
749	855	285
750	857	284
751	858	283
752	859	281
753	860	280
754	861	279
755	862	278
756	863	277
757	864	276
758	866	275
759	867	273
760	868	272
761	869	271
762	870	270
763	871	269
764	872	268
765	873	266
766	874	265
767	876	264
768	877	263
769	878	262
770	879	261
771	880	259
772	881	258
773	882	257
774	884	256
775	885	255
776	886	254
777	887	253
778	888	252
779	889	251
780	891	249
781	892	248
782	893	247
783	894	246
784	895	245
785	896	244
786	898	243
787	899	241
788	900	240
789	901	239
790	902	238
791	903	237
792	905	236
793	906	235
794	907	233
795	908	232
796	909	231
797	910	230
798	911	229
799	912	228
800	913	226
801	914	225
802	915	224
803	916	223
804	917	222
805	918	221
806	919	219
807	920	218
808	921	217
809	922	216
810	923	215
811	925	214
812	926	213
813	927	211
814	928	210
815	929	209
816	930	208
817	931	207
818	932	206
819	934	205
820	935	203
821	936	202
822	937	201
823	938	200
824	939	199
825	940	198
826	941	196
827	942	195
828	943	194
829	944	193
830	945	192
831	946	191
832	947	190
833	948	188
834	949	187
835	950	186
836	951	185
837	952	184
838	953	183
839	955	181
840	955	180
841	956	179
842	957	178
843	958	177
844	959	176
845	960	174
846	962	173
847	963	172
848	964	171
849	965	170
850	965	169
851	966	167
852	968	166
853	969	165
854	970	164
855	971	163
856	972	162
857	973	161
858	974	159
859	975	158
860	976	157
861	977	156
862	978	155
863	979	154
864	980	152
865	981	151
866	982	150
867	983	149
868	984	148
869	985	147
870	986	146
871	987	144
872	988	143
873	989	142
874	990	141
875	991	140
876	992	139
877	993	138
878	994	136
879	995	135
880	996	134
881	997	133
882	998	132
883	999	131
884	1000	129
885	1001	128
886	1002	127
887	1003	126
888	1004	125
889	1006	124
890	1007	123
891	1008	122
892	1009	120
893	1010	119
894	1011	118
895	1013	117
896	1014	116
897	1014	115
898	1016	114
899	1016	112
900	1018	111
901	1019	110
902	1020	109
903	1021	108
904	1022	107
905	1023	106
906	1024	105
907	1026	103
908	1027	102
909	1028	101
910	1029	100
911	1030	99
912	1031	98
913	1033	97
914	1034	96
915	1035	94
916	1036	93
917	1037	92
918	1038	91
919	1039	90
920	1041	89
921	1042	88
922	1043	87
923	1044	85
924	1045	84
925	1046	83
926	1047	82
927	1049	81
928	1050	80
929	1051	79
930	1051	77
931	1052	76
932	1053	75
933	1055	74
934	1056	73
935	1057	72
936	1058	71
937	1059	70
938	1060	68
939	1061	67
940	1062	66
941	1063	65
942	1064	64
943	1066	63
944	1067	62
945	1069	61
946	1070	59
947	1071	58
948	1072	57
949	1073	56
950	1074	55
951	1076	54
952	1077	53
953	1078	52
954	1079	50
955	1080	49
956	1081	48
957	1082	47
958	1083	46
959	1085	45
960	1086	44
961	1087	42
962	1088	41
963	1089	40
964	1090	39
965	1092	38
966	1093	37
967	1094	36
968	1095	35
969	1096	33
970	1097	32
971	1099	31
972	1100	30
973	1101	29
974	1102	28
975	1103	27
976	1104	26
977	1106	24
978	1107	23
979	1108	22
980	1108	21
981	1110	20
982	1112	19
983	1113	18
984	1114	16
985	1115	15
986	1116	14
987	1118	13
988	1119	12
989	1120	11
990	1121	10
991	1122	9
992	1123	7
993	1124	6
994	1126	5
995	1127	4
996	1128	3
997	1129	2
998	1130	1
999	1132	0
